421,1h 28m,6.6,67,19,6.9
422,1h 46m,6.2,42,26,7.4
423,2h 1m,6.2,103,43,6.9
424,1h 48m,6.3,36,24,6.3
425,1h 41m,6.4,47,34,6.3
426,1h 27m,6.0,112,69,5.2
427,1h 47m,4.7,136,30,7.5
428,2h 1m,7.8,273,44,6.7
429,1h 20m,5.3,99,38,6.5
430,1h 30m,5.1,14,7,6.1
431,2h 24m,7.9,397,113,6.5
432,1h 56m,5.6,57,17,7.2
433,1h 47m,5.7,22,12,7.1
434,1h 53m,6.5,262,87,5.6
435,1h 28m,5.4,124,35,6.9
436,2h 1m,5.2,142,64,5.7
437,1h 33m,5.2,32,15,6.1
438,1h 42m,5.9,37,28,6.5
440,1h 50m,6.9,164,50,6.3
441,1h 43m,7.6,548,144,6.7
442,1h 55m,6.7,331,94,6.1
444,1h 46m,4.3,53,19,6.6
445,1h 31m,5.7,60,33,6.6
446,2h 51m,8.1,135,42,6.8
448,2h 2m,7.1,132,46,7.1
449,1h 28m,7.2,53,22,5.9
450,1h 41m,6.7,87,10,6.8
451,2h 6m,6.2,53,17,7.5
452,1h 41m,6.7,18,14,5.7
453,1h 36m,6.2,43,17,7.1
454,2h 34m,6.9,249,58,7.0
455,1h 52m,6.0,105,28,6.7
456,1h 54m,7.5,125,35,6.1
457,2h 10m,7.8,412,126,6.3
458,1h 55m,6.5,70,29,6.4
459,1h 55m,5.8,72,31,6.6
460,1h 49m,4.8,26,20,7.1
461,1h 23m,5.7,33,17,6.8
464,1h 37m,6.2,245,98,6.5
466,1h 26m,6.6,125,37,6.8
467,1h 35m,5.2,18,14,4.8
468,1h 39m,6.6,90,33,6.6
469,2h 25m,6.9,99,22,6.7
470,1h 40m,4.6,19,8,6.3
471,1h 51m,7.2,245,72,7.2
472,1h 55m,5.5,22,12,6.9
473,1h 31m,4.9,42,10,6.5
474,2h 8m,7.2,202,82,6.8
475,2h 13m,8.1,226,37,7.1
476,1h 50m,6.3,13,9,6.0
477,1h 58m,7.3,87,31,6.9
478,1h 52m,5.3,23,17,6.9
479,1h 50m,6.6,112,39,6.9
480,2h 7m,8.2,1.4K,261,7.0
481,1h 57m,6.7,209,60,6.6
